Category: All categories

Time,Premier League: (Worldwide)
2023-01-25T12,42
2023-01-25T13,49
2023-01-25T14,67
2023-01-25T15,66
2023-01-25T16,60
2023-01-25T17,54
2023-01-25T18,49
2023-01-25T19,43
2023-01-25T20,40
2023-01-25T21,41
2023-01-25T22,42
2023-01-25T23,42
2023-01-26T00,40
2023-01-26T01,37
2023-01-26T02,35
2023-01-26T03,34
2023-01-26T04,35
2023-01-26T05,39
2023-01-26T06,39
2023-01-26T07,36
2023-01-26T08,36
2023-01-26T09,37
2023-01-26T10,39
2023-01-26T11,36
2023-01-26T12,40
2023-01-26T13,39
2023-01-26T14,37
2023-01-26T15,34
2023-01-26T16,37
2023-01-26T17,36
2023-01-26T18,34
2023-01-26T19,31
2023-01-26T20,31
2023-01-26T21,33
2023-01-26T22,34
2023-01-26T23,34
2023-01-27T00,32
2023-01-27T01,31
2023-01-27T02,33
2023-01-27T03,33
2023-01-27T04,36
2023-01-27T05,42
2023-01-27T06,41
2023-01-27T07,42
2023-01-27T08,45
2023-01-27T09,46
2023-01-27T10,47
2023-01-27T11,48
2023-01-27T12,52
2023-01-27T13,67
2023-01-27T14,89
2023-01-27T15,92
2023-01-27T16,90
2023-01-27T17,78
2023-01-27T18,75
2023-01-27T19,68
2023-01-27T20,63
2023-01-27T21,62
2023-01-27T22,66
2023-01-27T23,65
2023-01-28T00,62
2023-01-28T01,58
2023-01-28T02,59
2023-01-28T03,61
2023-01-28T04,62
2023-01-28T05,86
2023-01-28T06,98
2023-01-28T07,99
2023-01-28T08,100
2023-01-28T09,90
2023-01-28T10,80
2023-01-28T11,77
2023-01-28T12,67
2023-01-28T13,67
2023-01-28T14,62
2023-01-28T15,65
2023-01-28T16,63
2023-01-28T17,54
2023-01-28T18,49
2023-01-28T19,45
2023-01-28T20,41
2023-01-28T21,41
2023-01-28T22,44
2023-01-28T23,42
2023-01-29T00,41
2023-01-29T01,39
2023-01-29T02,41
2023-01-29T03,40
2023-01-29T04,45
2023-01-29T05,51
2023-01-29T06,65
2023-01-29T07,81
2023-01-29T08,81
2023-01-29T09,95
2023-01-29T10,79
2023-01-29T11,65
2023-01-29T12,54
2023-01-29T13,51
2023-01-29T14,42
2023-01-29T15,46
2023-01-29T16,56
2023-01-29T17,47
2023-01-29T18,42
2023-01-29T19,38
2023-01-29T20,36
2023-01-29T21,33
2023-01-29T22,35
2023-01-29T23,34
2023-01-30T00,34
2023-01-30T01,31
2023-01-30T02,31
2023-01-30T03,29
2023-01-30T04,31
2023-01-30T05,31
2023-01-30T06,33
2023-01-30T07,33
2023-01-30T08,31
2023-01-30T09,33
2023-01-30T10,30
2023-01-30T11,33
2023-01-30T12,33
2023-01-30T13,36
2023-01-30T14,33
2023-01-30T15,32
2023-01-30T16,32
2023-01-30T17,34
2023-01-30T18,30
2023-01-30T19,27
2023-01-30T20,26
2023-01-30T21,27
2023-01-30T22,27
2023-01-30T23,28
2023-01-31T00,28
2023-01-31T01,27
2023-01-31T02,26
2023-01-31T03,26
2023-01-31T04,29
2023-01-31T05,31
2023-01-31T06,33
2023-01-31T07,31
2023-01-31T08,30
2023-01-31T09,30
2023-01-31T10,33
2023-01-31T11,33
2023-01-31T12,37
2023-01-31T13,38
2023-01-31T14,45
2023-01-31T15,40
2023-01-31T16,46
2023-01-31T17,42
2023-01-31T18,36
2023-01-31T19,33
2023-01-31T20,30
2023-01-31T21,32
2023-01-31T22,34
2023-01-31T23,35
2023-02-01T00,31
2023-02-01T01,31
2023-02-01T02,30
2023-02-01T03,28
2023-02-01T04,29
2023-02-01T05,31
2023-02-01T06,30
2023-02-01T07,31
2023-02-01T08,30
2023-02-01T09,31
2023-02-01T10,30
2023-02-01T11,33
